Scenario,Campaign,Acquisition_Multiplier__KP_CMD_increase_incidence,Transmission_Multiplier__KP_CMD_increase_transmission,Choice_Probabilities__KP_DelayDiagnosis,Delay_Period_Exponential__KP_CMD_ARTdropout,Choice_Probabilities__KP_EffectiveART_CMDpos,Choice_Probabilities__KP_EffectiveART_CMDneg,Choice_Probabilities__KP_EffectiveART_CMDneg_recov,Start_Year__KP_ARTswitch,Demographic_Coverage__KP_ARTSwitch_CMD_Onset_NonSuppressive_ART,Trigger_Condition_List__KP_ART_trigger_condition,Choice_Probabilities__KP_CMDtreatment,Choice_Probabilities__KP_TreatmentTable_Sensitivity,Choice_Probabilities__KP_TreatmentTable_Specificity
uni_sa_cmdrelapse_LL,campaign_MATUMAINI_202305_uni_cmdrelapse_LL.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[.92,0.08]","[.9,.1]"
uni_sa_cmdrelapse_UL,campaign_MATUMAINI_202305_uni_cmdrelapse_UL.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[.92,0.08]","[.9,.1]"

ceta_sa_treateff_LL,campaign_MATUMAINI_202305_ceta.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.56,.44]","[.92,0.08]","[.9,.1]"
ceta_sa_treateff_UL,campaign_MATUMAINI_202305_ceta.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.68,.32]","[.92,0.08]","[.9,.1]"
ceta_sa_cmdsens_LL,campaign_MATUMAINI_202305_ceta.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[0.67,0.33]","[.9,.1]"
ceta_sa_cmdsens_UL,campaign_MATUMAINI_202305_ceta.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[1.0,0.0]","[.9,.1]"
ceta_sa_cmdspec_LL,campaign_MATUMAINI_202305_ceta.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[.92,0.08]","[0.78,0.22]"
ceta_sa_cmdspec_UL,campaign_MATUMAINI_202305_ceta.json,1.676206,1.676206,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[.92,0.08]","[1.0,0.0]"
ceta_sa_hivinc_LL,campaign_MATUMAINI_202305_ceta.json,1.34096,1.34096,"[0.517241,0.482759]",1521,"[0.779,0.184,.037]","[0.816,0.184]","[0.781,0.219]",1990,0.221,"['OnART1']","[.62,.38]","[.92,0.08]","[.9,.1]"
